word,sentiment,n
incorrect,negative,2
inequality,negative,2
inescapable,negative,2
inferiority,negative,2
infiltrators,negative,2
inhuman,negative,2
innovative,positive,2
insecure,negative,2
insidious,negative,2
inspirational,positive,2
inspire,positive,2
insulted,negative,2
integral,positive,2
integrated,positive,2
interfere,negative,2
invaluable,positive,2
isolate,negative,2
isolated,negative,2
jealous,negative,2
joy,positive,2
lambast,negative,2
leaky,negative,2
leverage,positive,2
limp,negative,2
logical,positive,2
lousy,negative,2
lovely,positive,2
lure,negative,2
malignant,negative,2
marvelled,positive,2
masterful,positive,2
merry,positive,2
messy,negative,2
mindless,negative,2
miserably,negative,2
misinformed,negative,2
misunderstood,negative,2
moan,negative,2
mocks,negative,2
modest,positive,2
moot,negative,2
nagging,negative,2
nauseating,negative,2
nemesis,negative,2
obstacle,negative,2
offend,negative,2
offenses,negative,2
omission,negative,2
outcry,negative,2
outsmart,positive,2
overdue,negative,2
overturn,negative,2
pandering,negative,2
paramount,positive,2
paranoid,negative,2
passion,positive,2
patiently,positive,2
perplexed,negative,2
petty,negative,2
pity,negative,2
pleasant,positive,2
poise,positive,2
poised,positive,2
poison,negative,2
poisonous,negative,2
praising,positive,2
prosperity,positive,2
quaint,positive,2
qualify,positive,2
rage,negative,2
raging,negative,2
rape,negative,2
raped,negative,2
rattled,negative,2
redundant,negative,2
reforms,positive,2
refund,positive,2
refusing,negative,2
refutes,negative,2
regressive,negative,2
reject,negative,2
rejecting,negative,2
rejection,negative,2
reliable,positive,2
resourceful,positive,2
retaliatory,negative,2
retard,negative,2
revenge,negative,2
rightfully,positive,2
risky,negative,2
robust,positive,2
rocky,negative,2
ruining,negative,2
rumors,negative,2
salute,positive,2
sarcasm,negative,2
sass,negative,2
savages,negative,2
sceptical,negative,2
scourge,negative,2
scream,negative,2
secretive,negative,2
sensation,positive,2
severe,negative,2
shallow,negative,2
sharper,positive,2
sharpest,positive,2
sharply,negative,2
shrug,negative,2
sickening,negative,2
simpler,positive,2
simplified,positive,2
simplistic,negative,2
sincerity,positive,2
sinister,negative,2
skill,positive,2
slaughter,negative,2
slime,negative,2
smash,negative,2
smoothly,positive,2
snarky,negative,2
spirited,positive,2
split,negative,2
spooky,negative,2
spotty,negative,2
squash,negative,2
stable,positive,2
starve,negative,2
staunch,positive,2
steady,positive,2
stench,negative,2
stereotypical,negative,2
stifling,negative,2
sting,negative,2
straighten,positive,2
stresses,negative,2
strictly,negative,2
struggle,negative,2
stumps,negative,2
stunned,positive,2
stutter,negative,2
stuttering,negative,2
sublime,positive,2
succeed,positive,2
suffer,negative,2
suffers,negative,2
superficial,negative,2
supremacy,positive,2
supremely,positive,2
sweaty,negative,2
taint,negative,2
tainted,negative,2
tangled,negative,2
tender,positive,2
terribly,negative,2
thrilled,positive,2
